web-scraper-order,web-scraper-start-url,neighbourhood_link,neighbourhood_link-href,bedroom_link,bedroom_link-href,product_link,product_link-href,Address,Rental_Price,Sqft,Bedroom,Bathroom,Rental_Type,Neighbourhood
"1712083361-56","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5651151/1000-2088-barclay-street-vancouver-bc","1000 2088 Barclay Street","$8,995/month","2850 Sqft","3 Bed","4 Bath","Apt/Condo","West End"
"1712083364-57","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5667899/1104-1415-w-georgia-street-vancouver-bc","1104 1415 W Georgia Street","$4,000/month","1269 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083367-58","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5669243/1011-beach-avenue-vancouver-bc","1011 Beach Avenue","$3,950/month","850 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083370-59","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5699982/2009-1111-alberni-street-vancouver-bc","2009 1111 Alberni Street","$7,500/month","1447 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083372-60","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5708532/2ooo-1367-alberni-street-vancouver-bc","2ooo 1367 Alberni Street","$3,800/month","800 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083375-61","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5714022/4oo-1406-harwood-street-vancouver-bc","4oo 1406 Harwood Street","$4,750/month","1100 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083378-62","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5726402/1460-barclay-street-vancouver-bc","1460 Barclay Street","$4,000/month","933 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083381-63","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5726813/3901-1028-barclay-street-vancouver-bc","3901 1028 Barclay Street","$4,900/month","1366 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083384-64","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5727020/1801-1568-alberni-street-vancouver-bc","1801 1568 Alberni Street","$7,900/month","1378 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083387-65","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5728406/2x01-1568-alberni-street-vancouver-bc","2x01 1568 Alberni Street","$5,000/month","840 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083390-66","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5731582/207-1925-nelson-street-vancouver-bc","1925 Nelson Street","$2,890/month","540 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083396-67","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5680403/801-1050-smithe-street-vancouver-bc","1050 Smithe Street","$2,800/month","645 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083399-68","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5681624/4oo-1060-alberni-street-vancouver-bc","4oo 1060 Alberni Street","$3,500/month","630 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083402-69","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/3116826/1230-nelson-street-vancouver-bc","1230 Nelson Street","$2,850/month","660 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083406-70","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5426980/1260-nelson-street-vancouver-bc","1260 Nelson Street","$2,850/month","670 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083409-71","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5705590/904-1534-harwood-street-vancouver-bc","904 1534 Harwood Street","$2,500/month","550 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083412-72","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/3463735/1011-beach-avenue-vancouver-bc","1011 Beach Avenue","$2,250/month","560 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083416-73","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5731586/204-1925-nelson-street-vancouver-bc","1925 Nelson Street","$2,600/month","540 Sqft","1 Bed","1 Bath","Apt/Condo","West End"
"1712083418-74","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5731697/804-1461-harwood-street-vancouver-bc","1461 Harwood Street","$3,700/month","973 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083422-75","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5627784/1703-1568-alberni-street-vancouver-bc","1703 1568 Alberni Street","$5,400/month","897 Sqft","2 Bed","1 Bath","Apt/Condo","West End"
"1712083437-76","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/3439353/1933-east-vancouver-bc","1933 East 41st Avenue","$2,950/month","786 Sqft","2 Bed","1 Bath","Apt/Condo","Victoria East"
"1712083440-77","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/3800553/1933-east-vancouver-bc","1933 East 41st Avenue","$3,650/month","1227 Sqft","2 Bed","1 Bath","Apt/Condo","Victoria East"
"1712083443-78","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5414052/vancouver-bc","Vancouver,
BC","$2,700/month","500 Sqft","2 Bed","1 Bath","House","Victoria East"
"1712083446-79","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5584667/2099-east-east-26th-vancouver-bc","Semi-Basement East 26th","$2,300/month","700 Sqft","2 Bed","1 Bath","House","Victoria East"
"1712083449-80","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5631402/4050-perry-st-street-vancouver-bc","4050 Perry St","$5,500/month","2543 Sqft","6 Bed","5 Bath","House","Victoria East"
"1712083452-81","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5651948/18xx-e-36-avenue-vancouver-bc","18xx E 36 Avenue","$2,800/month","640 Sqft","2 Bed","1 Bath","House","Victoria East"
"1712083455-82","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5570830/3493-commercial-street-vancouver-bc","3493 Commercial Street","$3,550/month","745 Sqft","2 Bed","1 Bath","Apt/Condo","Victoria East"
"1712083460-83","https://www.rew.ca/rentals/areas/vancouver-bc","Victoria East (11)","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/victoria-east-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/4832906/3493-commercial-street-vancouver-bc","3493 Commercial Street","$4,450/month","1001 Sqft","2 Bed","2 Bath","Apt/Condo","Victoria East"
"1712083468-84","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5723154/3456-east-3rd-avenue-vancouver-bc","3456 East 3rd Avenue","$4,500/month","2300 Sqft","5 Bed","4 Bath","House","Renfrew"
"1712083476-85","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5131174/1610-wesbrook-crescent-vancouver-bc","1610 Wesbrook Crescent","$11,500/month","5178 Sqft","4 Bed","5 Bath","House","University (UBC)"
"1712083480-86","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5622649/115-5955-birney-avenue-vancouver-bc","115 5955 Birney Avenue","$4,800/month","1200 Sqft","3 Bed","2 Bath","Townhouse","University (UBC)"
"1712083485-87","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/2768182/2233-allison-road-vancouver-bc","2233 Allison Road","$3,500/month","910 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083488-88","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/2768185/2233-allison-road-vancouver-bc","2233 Allison Road","$3,800/month","970 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083491-89","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5239096/5835-hampton-place-vancouver-bc","5835 Hampton Pl","$4,500/month","1004 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083494-90","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5274873/vancouver-bc","Vancouver,
BC","$2,300/month","Sqft","2 Bed","3 Bath","Townhouse","University (UBC)"
"1712083497-91","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5537912/910-5608-berton-avenue-vancouver-bc","910 5608 Berton Avenue","$4,200/month","912 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083500-92","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5572667/807-3487-binning-road-vancouver-bc","205 3487 Binning Road","$4,200/month","900 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083503-93","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5572666/1410-3487-binning-road-vancouver-bc","Ph11 3479 Wesbrook Mall Road","$5,300/month","1200 Sqft","2 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083509-94","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/2801012/2233-allison-road-vancouver-bc","2233 Allison Road","$2,700/month","670 Sqft","1 Bed","1 Bath","Apt/Condo","University (UBC)"
"1712083512-95","https://www.rew.ca/rentals/areas/vancouver-bc","University (UBC) (13)","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/university-ubc-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5321830/5608-berton-avenue-vancouver-bc","5608 Berton Ave","$3,800/month","611 Sqft","1 Bed","1 Bath","Apt/Condo","University (UBC)"
"1712083523-96","https://www.rew.ca/rentals/areas/vancouver-bc","Strathcona (5)","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","4+ Bed","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=4","","https://www.rew.ca/rentals/5580452/1517-w-59th-avenue-vancouver-bc","1517 W 59th Avenue","$11,750/month","4020 Sqft","5 Bed","7 Bath","House","South Granville"
"1712083526-97","https://www.rew.ca/rentals/areas/vancouver-bc","Strathcona (5)","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","4+ Bed","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=4","","https://www.rew.ca/rentals/5654281/2579-trinity-street-vancouver-bc","2579 Trinity St","$4,500/month","1895 Sqft","4 Bed","2 Bath","House","Hastings Sunrise"
"1712083532-98","https://www.rew.ca/rentals/areas/vancouver-bc","Strathcona (5)","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4047069/889-pacific-street-vancouver-bc","889 Pacific Street","$7,450/month","1576 Sqft","3 Bed","3 Bath","Apt/Condo","Downtown West"
"1712083540-99","https://www.rew.ca/rentals/areas/vancouver-bc","Strathcona (5)","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5535468/150-e-cordova-street-vancouver-bc","150 Cordova St E","$2,700/month","569 Sqft","1 Bed","1 Bath","Apt/Condo","Strathcona"
"1712083543-100","https://www.rew.ca/rentals/areas/vancouver-bc","Strathcona (5)","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/strathcona-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5543706/150-e-cordova-street-vancouver-bc","150 Cordova St E","$3,300/month","750 Sqft","2 Bed","2 Bath","Apt/Condo","Strathcona"
"1712083561-101","https://www.rew.ca/rentals/areas/vancouver-bc","Southwest Marine (4)","https://www.rew.ca/rentals/areas/southwest-marine-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/southwest-marine-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/3577507/8555-granville-street-vancouver-bc","8555 Granville Street","$2,300/month","473 Sqft","1 Bed","1 Bath","Apt/Condo","Southwest Marine"
"1712083564-102","https://www.rew.ca/rentals/areas/vancouver-bc","Southwest Marine (4)","https://www.rew.ca/rentals/areas/southwest-marine-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/southwest-marine-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5033644/a502-8555-granville-street-vancouver-bc","8555 Granville Street","$2,595/month","568 Sqft","1 Bed","1 Bath","Apt/Condo","Southwest Marine"
"1712083575-103","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","4+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=4","","https://www.rew.ca/rentals/5719945/6279-eagles-drive-vancouver-bc","6279 Eagles Drive","$6,200/month","1350 Sqft","4 Bed","2 Bath","Apt/Condo","University (UBC)"
"1712083581-104","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5615065/17x-805-west-49-avenue-vancouver-bc","17x 805 W 49 Avenue","$5,750/month","1807 Sqft","4 Bed","3 Bath","Townhouse","Oakridge"
"1712083584-105","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5559414/th3-3559-e-kent-avenue-vancouver-bc","3559 E Kent Avenue North","$4,000/month","1200 Sqft","3 Bed","3 Bath","Townhouse","South Marine"
"1712083592-106","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5633427/1501-8188-fraser-street-vancouver-bc","8188 Fraser St","$2,388/month","483 Sqft","1 Bed","1 Bath","Apt/Condo","South Vancouver"
"1712083596-107","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5650845/180-e-60th-ave-60th-ave-avenue-vancouver-bc","180 Lane Way House-E 60th Ave 60th Ave Avenue","$2,700/month","700 Sqft","2 Bed","2 Bath","House","South Vancouver"
"1712083599-108","https://www.rew.ca/rentals/areas/vancouver-bc","South Vancouver (5)","https://www.rew.ca/rentals/areas/south-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/south-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5586754/323-east-64th-avenue-vancouver-bc","323 East 64th Avenue","$2,250/month","525 Sqft","2 Bed","1 Bath","House","South Vancouver"
"1712083615-109","https://www.rew.ca/rentals/areas/vancouver-bc","South Marine (9)","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/4975762/3198-riverwalk-avenue-vancouver-bc","3198 Riverwalk Ave","$3,250/month","938 Sqft","2 Bed","2 Bath","Apt/Condo","South Marine"
"1712083618-110","https://www.rew.ca/rentals/areas/vancouver-bc","South Marine (9)","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5273401/3688-sawmill-crescent-vancouver-bc","3688 Sawmill Crescent","$3,100/month","850 Sqft","2 Bed","1 Bath","Apt/Condo","South Marine"
"1712083621-111","https://www.rew.ca/rentals/areas/vancouver-bc","South Marine (9)","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/south-marine-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5539497/vancouver-bc","Vancouver,
BC","$3,500/month","945 Sqft","2 Bed","2 Bath","Apt/Condo","South Marine"
